geneID,ensembl_gene_id,gene_symbol,mapping_status,coefficient,absolute_coefficient,direction,best_model,best_params
ENSG00000136010.14,ENSG00000136010,ALDH1L2,mapped,-0.0838925313322007,0.0838925313322007,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000244384.3,ENSG00000244384,RN7SL359P,mapped,-0.0821126138597824,0.0821126138597824,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000198929.13,ENSG00000198929,NOS1AP,mapped,-0.0780805147864265,0.0780805147864265,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000163235.16,ENSG00000163235,TGFA,mapped,0.0766284406651554,0.0766284406651554,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000205592.15,ENSG00000205592,MUC19,mapped,0.0764835264037386,0.0764835264037386,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000164047.6,ENSG00000164047,CAMP,mapped,0.0764057938174578,0.0764057938174578,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000124212.6,ENSG00000124212,PTGIS,mapped,-0.0758748626956217,0.0758748626956217,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000227115.8,ENSG00000227115,LINC01630,mapped,0.0741158670357558,0.0741158670357558,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000174885.13,ENSG00000174885,NLRP6,mapped,-0.0720449885009717,0.0720449885009717,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000115318.12,ENSG00000115318,LOXL3,mapped,0.0718202027729371,0.0718202027729371,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000146966.13,ENSG00000146966,DENND2A,mapped,-0.0704399880827514,0.0704399880827514,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000266720.2,ENSG00000266720,RN7SL14P,mapped,-0.0703598967615737,0.0703598967615737,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000099985.4,ENSG00000099985,OSM,mapped,-0.0648504843480584,0.0648504843480584,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000164199.18,ENSG00000164199,ADGRV1,mapped,0.064080107804629,0.064080107804629,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000138080.14,ENSG00000138080,EMILIN1,mapped,-0.0622244534975553,0.0622244534975553,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000092969.12,ENSG00000092969,TGFB2,mapped,-0.060411094079329,0.060411094079329,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000166947.15,ENSG00000166947,EPB42,mapped,0.0600718952580456,0.0600718952580456,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000222985.1,ENSG00000222985,RNU2-14P,mapped,0.0593739222366804,0.0593739222366804,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000259905.7,ENSG00000259905,PWRN1,mapped,0.0593476969106253,0.0593476969106253,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000114487.10,ENSG00000114487,MORC1,mapped,-0.0520362618082138,0.0520362618082138,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000270055.1,ENSG00000270055,CTD-3092A11.2,mapped,-0.0505062317966425,0.0505062317966425,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000198502.6,ENSG00000198502,HLA-DRB5,mapped,0.0492387758781287,0.0492387758781287,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000080618.17,ENSG00000080618,CPB2,mapped,-0.0491951844625452,0.0491951844625452,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000121310.17,ENSG00000121310,ECHDC2,mapped,0.0464341033824159,0.0464341033824159,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000110203.9,ENSG00000110203,FOLR3,mapped,-0.0456185347513832,0.0456185347513832,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000165269.13,ENSG00000165269,AQP7,mapped,0.0434509457724498,0.0434509457724498,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000166035.11,ENSG00000166035,LIPC,mapped,0.0407828191757414,0.0407828191757414,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000243064.8,ENSG00000243064,ABCC13,mapped,0.0366089299754564,0.0366089299754564,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000131203.13,ENSG00000131203,IDO1,mapped,0.0362888451489458,0.0362888451489458,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000273272.2,ENSG00000273272,CTA-384D8.34,mapped,0.0362875256031334,0.0362875256031334,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000074527.13,ENSG00000074527,NTN4,mapped,0.0360439712270149,0.0360439712270149,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000162366.8,ENSG00000162366,PDZK1IP1,mapped,-0.0330416509533653,0.0330416509533653,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000185339.9,ENSG00000185339,TCN2,mapped,0.0329812568971524,0.0329812568971524,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000269404.7,ENSG00000269404,SPIB,mapped,-0.0327862077016217,0.0327862077016217,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000269821.1,ENSG00000269821,KCNQ1OT1,mapped,0.0318120732214215,0.0318120732214215,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000106852.15,ENSG00000106852,LHX6,mapped,-0.0301161198281132,0.0301161198281132,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000089250.19,ENSG00000089250,NOS1,mapped,-0.0295615635844859,0.0295615635844859,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000241162.3,ENSG00000241162,RN7SL617P,mapped,-0.0251522895948543,0.0251522895948543,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000238201.1,ENSG00000238201,AC114752.3,mapped,-0.0238611493440264,0.0238611493440264,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000141469.18,ENSG00000141469,SLC14A1,mapped,-0.0222341311111435,0.0222341311111435,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000259020.3,ENSG00000259020,RP11-529H20.3,mapped,-0.0221567214586383,0.0221567214586383,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000084453.17,ENSG00000084453,SLCO1A2,mapped,-0.0221128191160768,0.0221128191160768,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000180739.14,ENSG00000180739,S1PR5,mapped,0.0217260782783335,0.0217260782783335,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000105610.6,ENSG00000105610,KLF1,mapped,0.0215560335548921,0.0215560335548921,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000132840.10,ENSG00000132840,BHMT2,mapped,-0.0204637051755345,0.0204637051755345,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000243562.3,ENSG00000243562,RN7SL838P,mapped,-0.0189555056245069,0.0189555056245069,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000102837.7,ENSG00000102837,OLFM4,mapped,0.0186960853449617,0.0186960853449617,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000092068.20,ENSG00000092068,SLC7A8,mapped,0.0186651448900465,0.0186651448900465,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000091986.16,ENSG00000091986,CCDC80,mapped,-0.0181420588797811,0.0181420588797811,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000265078.2,ENSG00000265078,RN7SL664P,mapped,-0.0157931053524708,0.0157931053524708,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000172927.8,ENSG00000172927,MYEOV,mapped,-0.0153494647993159,0.0153494647993159,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000113905.5,ENSG00000113905,HRG,mapped,-0.013959568022106,0.013959568022106,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000120645.12,ENSG00000120645,IQSEC3,mapped,0.0132938561775672,0.0132938561775672,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000213398.8,ENSG00000213398,LCAT,mapped,0.0132840277574946,0.0132840277574946,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000180535.4,ENSG00000180535,BHLHA15,mapped,-0.0127864406234879,0.0127864406234879,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000070159.14,ENSG00000070159,PTPN3,mapped,-0.0124173887630013,0.0124173887630013,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000116990.11,ENSG00000116990,MYCL,mapped,-0.012080483966312,0.012080483966312,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000241175.3,ENSG00000241175,RN7SL494P,mapped,-0.0108169159596847,0.0108169159596847,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000137672.13,ENSG00000137672,TRPC6,mapped,-0.0101784571403276,0.0101784571403276,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000007174.18,ENSG00000007174,DNAH9,mapped,0.0092751177077499,0.0092751177077499,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000129946.11,ENSG00000129946,SHC2,mapped,-0.0077032171654257,0.0077032171654257,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000280128.1,ENSG00000280128,XXbac-BPG283O16.9,mapped,-0.0065672086535144,0.0065672086535144,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000181143.15,ENSG00000181143,MUC16,mapped,0.0061480444036059,0.0061480444036059,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000267526.1,ENSG00000267526,RP11-178C3.6,mapped,-0.0054169524744534,0.0054169524744534,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000115963.14,ENSG00000115963,RND3,mapped,-0.0049915037329161,0.0049915037329161,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000170956.17,ENSG00000170956,CEACAM3,mapped,0.004840263573085,0.004840263573085,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000140534.14,ENSG00000140534,TICRR,mapped,-0.0047453395375266,0.0047453395375266,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000095739.11,ENSG00000095739,BAMBI,mapped,0.0031079012961969,0.0031079012961969,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000235781.1,ENSG00000235781,LINC02569,mapped,-0.0019605133688393,0.0019605133688393,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000226808.3,ENSG00000226808,LINC00840,mapped,-0.0011956654326199,0.0011956654326199,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000254759.1,ENSG00000254759,NAP1L1P1,mapped,-0.0009020892270419,0.0009020892270419,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000159958.7,ENSG00000159958,TNFRSF13C,mapped,-0.0005055552822826,0.0005055552822826,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
